VV,VH,date,orbit,x,y
-9.150701165117212,-16.52505021763323,2020-10-06,DESCENDING,-44.35759600418841,-13.33903873812657
-9.326269372157505,-14.03596212027974,2020-10-13,DESCENDING,-44.35759600418841,-13.33903873812657
-5.6760641200699755,-15.530750781893188,2020-10-18,DESCENDING,-44.35759600418841,-13.33903873812657
-12.533102067566986,-17.017854016794075,2020-10-25,DESCENDING,-44.35759600418841,-13.33903873812657
-6.053230567417374,-14.557422418505187,2020-10-30,DESCENDING,-44.35759600418841,-13.33903873812657
-7.68845493546705,-14.600195255973835,2020-11-06,DESCENDING,-44.35759600418841,-13.33903873812657
-9.32464378526469,-12.081637074072617,2020-11-11,DESCENDING,-44.35759600418841,-13.33903873812657
-10.96334885817888,-14.619544257519541,2020-11-18,DESCENDING,-44.35759600418841,-13.33903873812657
-6.393361900250292,-12.445171016454362,2020-11-23,DESCENDING,-44.35759600418841,-13.33903873812657
-8.77812962583989,-14.570317885975326,2020-11-30,DESCENDING,-44.35759600418841,-13.33903873812657
-8.42157219620965,-15.927362264478651,2020-12-05,DESCENDING,-44.35759600418841,-13.33903873812657
-8.675349969160806,-13.205588288004718,2020-12-12,DESCENDING,-44.35759600418841,-13.33903873812657
-7.121916857434351,-19.173984198460875,2020-12-17,DESCENDING,-44.35759600418841,-13.33903873812657
-8.33857000706493,-14.432737072131555,2020-12-24,DESCENDING,-44.35759600418841,-13.33903873812657
-7.156936818532545,-21.015469619838708,2020-12-29,DESCENDING,-44.35759600418841,-13.33903873812657
-8.657276966985307,-16.230490438904,2021-01-05,DESCENDING,-44.35759600418841,-13.33903873812657
-6.291956222378725,-14.552860709362323,2021-01-10,DESCENDING,-44.35759600418841,-13.33903873812657
-9.953726365631603,-13.378650378114479,2021-01-17,DESCENDING,-44.35759600418841,-13.33903873812657
-6.6888312403671515,-12.990463866538901,2021-01-22,DESCENDING,-44.35759600418841,-13.33903873812657
-9.677496063713638,-16.07259016835426,2021-01-29,DESCENDING,-44.35759600418841,-13.33903873812657
-9.053109255498887,-14.061285451885233,2021-02-03,DESCENDING,-44.35759600418841,-13.33903873812657
-7.019991974568599,-10.860105727023495,2021-02-15,DESCENDING,-44.35759600418841,-13.33903873812657
-8.899621445390094,-16.505582508615582,2021-02-22,DESCENDING,-44.35759600418841,-13.33903873812657
-5.4810766700635245,-13.616431065660503,2021-02-27,DESCENDING,-44.35759600418841,-13.33903873812657
-7.42893272957878,-15.79983784965901,2021-03-06,DESCENDING,-44.35759600418841,-13.33903873812657
-10.656889090622265,-14.282942264939091,2021-03-11,DESCENDING,-44.35759600418841,-13.33903873812657
-11.002352751140851,-18.465207892608394,2021-03-18,DESCENDING,-44.35759600418841,-13.33903873812657
-11.567177666229183,-13.86627979102526,2021-03-23,DESCENDING,-44.35759600418841,-13.33903873812657
-11.952496231151766,-16.75483332310052,2021-03-30,DESCENDING,-44.35759600418841,-13.33903873812657
-7.90398346733125,-13.324000961782382,2021-04-04,DESCENDING,-44.35759600418841,-13.33903873812657
-11.1488732563226,-17.807909631338458,2021-04-11,DESCENDING,-44.35759600418841,-13.33903873812657
-10.888984082965361,-14.273146685250875,2021-04-16,DESCENDING,-44.35759600418841,-13.33903873812657
-8.098874242039694,-12.76558874458874,2021-04-23,DESCENDING,-44.35759600418841,-13.33903873812657
-8.374331822787187,-17.122629352972652,2021-04-28,DESCENDING,-44.35759600418841,-13.33903873812657
-6.921922115910444,-13.414173632482587,2021-05-10,DESCENDING,-44.35759600418841,-13.33903873812657
-11.593426719963752,-15.77008058849189,2021-05-17,DESCENDING,-44.35759600418841,-13.33903873812657
-9.579633225385978,-15.616721691499231,2021-05-22,DESCENDING,-44.35759600418841,-13.33903873812657
-11.376730797963637,-15.372024164773181,2021-05-29,DESCENDING,-44.35759600418841,-13.33903873812657
-9.935950233450203,-14.905220371904564,2021-06-03,DESCENDING,-44.35759600418841,-13.33903873812657
-9.861704410858522,-14.190244049873561,2021-06-10,DESCENDING,-44.35759600418841,-13.33903873812657
-9.854600307776845,-15.12194540476103,2021-06-15,DESCENDING,-44.35759600418841,-13.33903873812657
-8.249057003151163,-15.528839353068918,2021-06-22,DESCENDING,-44.35759600418841,-13.33903873812657
-11.070572485815728,-10.525357368412118,2021-06-27,DESCENDING,-44.35759600418841,-13.33903873812657
-7.5127942341630884,-17.84500272274482,2021-07-09,DESCENDING,-44.35759600418841,-13.33903873812657
-10.899561139981568,-15.41199429626655,2021-07-16,DESCENDING,-44.35759600418841,-13.33903873812657
-7.689166082269976,-10.874937256077132,2021-07-21,DESCENDING,-44.35759600418841,-13.33903873812657
-9.95886485429664,-15.229928839619035,2021-07-28,DESCENDING,-44.35759600418841,-13.33903873812657
-8.165409227447283,-18.159711838464986,2021-08-02,DESCENDING,-44.35759600418841,-13.33903873812657
-7.332497120802365,-14.048554163985704,2021-08-14,DESCENDING,-44.35759600418841,-13.33903873812657
-9.359938400574466,-11.978335277095645,2021-08-21,DESCENDING,-44.35759600418841,-13.33903873812657
-9.977654831085838,-12.106248822584643,2021-08-26,DESCENDING,-44.35759600418841,-13.33903873812657
-13.129634138763674,-13.41449217702307,2021-09-02,DESCENDING,-44.35759600418841,-13.33903873812657
-11.820160926413886,-13.965377282460416,2021-09-07,DESCENDING,-44.35759600418841,-13.33903873812657
-10.725075597377353,-13.866161177837801,2021-09-14,DESCENDING,-44.35759600418841,-13.33903873812657
-12.879708487050339,-13.91338122742843,2021-09-19,DESCENDING,-44.35759600418841,-13.33903873812657
-11.764540503097013,-15.539014800102201,2021-09-26,DESCENDING,-44.35759600418841,-13.33903873812657
-13.10707313237688,-15.801990223524733,2021-10-01,DESCENDING,-44.35759600418841,-13.33903873812657
-10.979053859249795,-14.059451284947851,2021-10-08,DESCENDING,-44.35759600418841,-13.33903873812657
-8.416252129628896,-14.504267498917326,2021-10-13,DESCENDING,-44.35759600418841,-13.33903873812657
-9.429612829814154,-11.593726544464767,2021-10-20,DESCENDING,-44.35759600418841,-13.33903873812657
-4.953538865417567,-12.557203042781657,2021-10-25,DESCENDING,-44.35759600418841,-13.33903873812657
-5.908331032216314,-14.205710466025604,2021-11-01,DESCENDING,-44.35759600418841,-13.33903873812657
-8.017537813435169,-15.06209825390214,2021-11-13,DESCENDING,-44.35759600418841,-13.33903873812657
-7.4586507259498465,-14.283963864387196,2021-11-18,DESCENDING,-44.35759600418841,-13.33903873812657
-7.309343654027412,-14.21746936736496,2021-11-25,DESCENDING,-44.35759600418841,-13.33903873812657
-6.377851259460831,-13.267903469203562,2021-12-07,DESCENDING,-44.35759600418841,-13.33903873812657
-8.374292655966464,-13.37568713675416,2021-12-12,DESCENDING,-44.35759600418841,-13.33903873812657
-9.231996685886028,-16.39311764365835,2021-12-19,DESCENDING,-44.35759600418841,-13.33903873812657
-6.7272788669294625,-13.175724909117806,2021-12-24,DESCENDING,-44.35759600418841,-13.33903873812657
-9.07380222106473,-14.73516309160437,2021-12-31,DESCENDING,-44.35759600418841,-13.33903873812657
-9.420062385815115,-14.683577800561341,2022-01-05,DESCENDING,-44.35759600418841,-13.33903873812657
-9.210353160198983,-14.703763868075422,2022-01-12,DESCENDING,-44.35759600418841,-13.33903873812657
-12.492827736704902,-13.517110282527367,2022-01-17,DESCENDING,-44.35759600418841,-13.33903873812657
-9.846903334796664,-15.972530315302617,2022-01-24,DESCENDING,-44.35759600418841,-13.33903873812657
-10.736590195531583,-13.986679429111643,2022-01-29,DESCENDING,-44.35759600418841,-13.33903873812657
-13.705526683295473,-13.02904321551916,2022-02-05,DESCENDING,-44.35759600418841,-13.33903873812657
-7.32601438233985,-17.774711375450526,2022-02-10,DESCENDING,-44.35759600418841,-13.33903873812657
-8.813294227330013,-14.142892678719052,2022-02-17,DESCENDING,-44.35759600418841,-13.33903873812657
-8.50414407846792,-15.85978559279244,2022-03-01,DESCENDING,-44.35759600418841,-13.33903873812657
-6.344681240972811,-14.343285468618701,2022-03-06,DESCENDING,-44.35759600418841,-13.33903873812657
-14.730151282964917,-16.097257123490316,2022-03-13,DESCENDING,-44.35759600418841,-13.33903873812657
-9.929717607870797,-14.217264715055371,2022-03-18,DESCENDING,-44.35759600418841,-13.33903873812657
-8.49019025677713,-14.18093388105799,2022-03-25,DESCENDING,-44.35759600418841,-13.33903873812657
-8.718697533112834,-13.952382596433369,2022-03-30,DESCENDING,-44.35759600418841,-13.33903873812657
-12.883776871523118,-15.946618244480897,2022-04-06,DESCENDING,-44.35759600418841,-13.33903873812657
-8.265081039771356,-13.8410641432537,2022-04-11,DESCENDING,-44.35759600418841,-13.33903873812657
-10.677404112306775,-14.895188492597873,2022-04-18,DESCENDING,-44.35759600418841,-13.33903873812657
-9.867260744655933,-20.384561545514753,2022-04-23,DESCENDING,-44.35759600418841,-13.33903873812657
-13.164276715304975,-18.308557800656637,2022-04-30,DESCENDING,-44.35759600418841,-13.33903873812657
-11.65828412295286,-15.578310456610737,2022-05-05,DESCENDING,-44.35759600418841,-13.33903873812657
-9.16822214438472,-18.105036733681505,2022-05-17,DESCENDING,-44.35759600418841,-13.33903873812657
-8.790613694394082,-14.572526651219393,2022-05-24,DESCENDING,-44.35759600418841,-13.33903873812657
-9.391668061304125,-17.560733064376137,2022-05-29,DESCENDING,-44.35759600418841,-13.33903873812657
-6.935245763518573,-15.887109403436925,2022-06-17,DESCENDING,-44.35759600418841,-13.33903873812657
-11.153284193980557,-17.17107793212582,2022-06-22,DESCENDING,-44.35759600418841,-13.33903873812657
-10.105824499141086,-14.173639582464466,2022-07-04,DESCENDING,-44.35759600418841,-13.33903873812657
-8.730221278793284,-15.54286457491304,2022-07-11,DESCENDING,-44.35759600418841,-13.33903873812657
-10.080460738318468,-15.703216291861219,2022-07-16,DESCENDING,-44.35759600418841,-13.33903873812657
-10.804429470828513,-16.013195335278642,2022-07-23,DESCENDING,-44.35759600418841,-13.33903873812657
-8.791169713167882,-12.191724855908683,2022-07-28,DESCENDING,-44.35759600418841,-13.33903873812657
-8.961317079333966,-15.359389053824302,2022-08-04,DESCENDING,-44.35759600418841,-13.33903873812657
-8.200245258510455,-15.636627673343018,2022-08-09,DESCENDING,-44.35759600418841,-13.33903873812657
-8.42112092252108,-16.803004091729402,2022-08-16,DESCENDING,-44.35759600418841,-13.33903873812657
